id1,id2
MD.model.ptg000007l.1412,ptg000007lG001188
MD.model.ptg000007l.1413,ptg000007lG001189
MD.model.ptg000007l.1414,ptg000007lG001190
MD.model.ptg000007l.1415,ptg000007lG001191
MD.model.ptg000007l.1416,ptg000007lG001192
MD.model.ptg000007l.1419,ptg000007lG001194
MD.model.ptg000007l.142,ptg000007lG000103
MD.model.ptg000007l.1420,ptg000007lG001195
MD.model.ptg000007l.1421,ptg000007lG001196
MD.model.ptg000007l.1422,ptg000007lG001197
MD.model.ptg000007l.1423,ptg000007lG001198
MD.model.ptg000007l.1424,ptg000007lG001199
MD.model.ptg000007l.1426,ptg000007lG001200
MD.model.ptg000007l.1427,ptg000007lG001201
MD.model.ptg000007l.1428,ptg000007lG001202
MD.model.ptg000007l.1429,ptg000007lG001203
MD.model.ptg000007l.143,ptg000007lG000104
MD.model.ptg000007l.1430,ptg000007lG001204
MD.model.ptg000007l.1431,ptg000007lG001205
MD.model.ptg000007l.1433,ptg000007lG001206
MD.model.ptg000007l.1434,ptg000007lG001207
MD.model.ptg000007l.1435,ptg000007lG001208
MD.model.ptg000007l.1436,ptg000007lG001209
MD.model.ptg000007l.1437,ptg000007lG001210
MD.model.ptg000007l.1438,ptg000007lG001211
MD.model.ptg000007l.1439,ptg000007lG001212
MD.model.ptg000007l.144,ptg000007lG000105
MD.model.ptg000007l.1440,ptg000007lG001213
MD.model.ptg000007l.1441,ptg000007lG001214
MD.model.ptg000007l.1442,ptg000007lG001215
MD.model.ptg000007l.1445,ptg000007lG001216
MD.model.ptg000007l.1447,ptg000007lG001217
MD.model.ptg000007l.1448,ptg000007lG001218
MD.model.ptg000007l.1449,ptg000007lG001219
MD.model.ptg000007l.145,ptg000007lG000106
MD.model.ptg000007l.1450,ptg000007lG001220
MD.model.ptg000007l.1451,ptg000007lG001221
MD.model.ptg000007l.1452,ptg000016lG000321
MD.model.ptg000007l.1453,ptg000007lG001223
MD.model.ptg000007l.1454,ptg000007lG001224
MD.model.ptg000007l.1455,ptg000007lG001225
MD.model.ptg000007l.1457,ptg000007lG001226
MD.model.ptg000007l.1458,ptg000007lG001227
MD.model.ptg000007l.146,ptg000007lG000107
MD.model.ptg000007l.1460,ptg000007lG001229
MD.model.ptg000007l.1461,ptg000007lG001230
MD.model.ptg000007l.1463,ptg000007lG001231
MD.model.ptg000007l.1464,ptg000007lG001232
MD.model.ptg000007l.1465,ptg000007lG001233
MD.model.ptg000007l.1468,ptg000007lG001234
MD.model.ptg000007l.147,ptg000007lG000108
MD.model.ptg000007l.1470,ptg000007lG001236
MD.model.ptg000007l.1471,ptg000019lG001189
MD.model.ptg000007l.1472,ptg000007lG001238
MD.model.ptg000007l.1473,ptg000007lG001239
MD.model.ptg000007l.1474,ptg000007lG001240
MD.model.ptg000007l.1475,ptg000007lG001241
MD.model.ptg000007l.1476,ptg000007lG001242
MD.model.ptg000007l.1478,ptg000007lG001243
MD.model.ptg000007l.1479,ptg000007lG001244
MD.model.ptg000007l.148,ptg000007lG000109
MD.model.ptg000007l.1480,ptg000007lG001245
MD.model.ptg000007l.1481,ptg000007lG001246
MD.model.ptg000007l.1482,ptg000007lG001247
MD.model.ptg000007l.1483,ptg000007lG001248
MD.model.ptg000007l.1484,ptg000007lG001249
MD.model.ptg000007l.1485,ptg000007lG001250
MD.model.ptg000007l.1486,ptg000007lG001251
